,model,km_driven,seller_type,transmission,owner,engine,max_power,torque,seats,LPG,CNG,Petrol,Diesel
44,2018 Maruti Swift Dzire VXi AT,23300,Dealer,Automatic,First Owner,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
45,2018 Maruti Vitara Brezza VDi,32600,Dealer,Manual,1,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
46,2018 Maruti Alto K10 VXI,10300,Dealer,Manual,First Owner,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
47,2014 Toyota Fortuner 4x4 MT,77000,Dealer,Manual,First Owner,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0,False,False,False,True
48,2013 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,99000,Dealer,Manual,First Owner,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0,False,False,False,True
49,2014 Mercedes-Benz B Class B180,27800,Dealer,Automatic,Second Owner,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5.0,False,False,False,True
50,2015 Honda Amaze S Diesel,49800,Dealer,Manual,1,1498 CC,98.63 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
51,2013 Mitsubishi Pajero Sport 4X4,151000,Dealer,Manual,First Owner,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7.0,False,False,False,True
52,2015 Honda City i DTEC S,54700,Dealer,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
53,2018 Maruti Ciaz Zeta,64000,Dealer,Manual,First Owner,1462 CC,103.25 bhp,138Nm@ 4400rpm,5.0,False,False,True,False
54,2015 Honda Jazz VX Diesel,63000,Dealer,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
55,2016 Toyota Innova Crysta 2.8 ZX AT BSIV,127700,Dealer,Automatic,2,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,False,False,False,True
56,2016 Toyota Innova 2.5 G (Diesel) 7 Seater,99000,Dealer,Manual,First Owner,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,False,False,False,True
57,2013 Audi A6 2.0 TDI Technology,33900,Dealer,Automatic,Second Owner,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5.0,False,False,False,True
58,2018 Toyota Corolla Altis 1.8 VL CVT,25000,Dealer,Automatic,First Owner,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0,False,False,True,False
59,2013 Audi A6 2.0 TDI  Design Edition,50000,Dealer,Automatic,First Owner,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0,False,False,False,True
60,2013 Mercedes-Benz New C-Class 220 CDI AT,59000,Dealer,Automatic,1,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0,False,False,False,True
61,2011 Tata Manza ELAN Quadrajet BS IV,120000,Individual,Manual,First Owner,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0,False,False,False,True
62,2011 Hyundai i10 Magna,110000,Individual,Manual,Third Owner,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,False,False,True,False
63,2013 Hyundai i20 Asta 1.4 CRDi,60000,Individual,Manual,First Owner,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0,False,False,False,True
64,2015 Maruti Swift Dzire ZDI,147000,Individual,Manual,Second Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
65,2017 Ford Figo 1.2P Titanium MT,25000,Individual,Manual,3,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,False,False,True,False
66,2019 Maruti Baleno Delta 1.2,30000,Individual,Manual,First Owner,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
67,2016 Volkswagen Ameo 1.5 TDI Highline 16 Alloy,40000,Individual,Manual,First Owner,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5.0,False,False,False,True
68,2015 Honda City i DTEC VX,135000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
69,2018 Maruti Wagon R AMT VXI,30000,Individual,Automatic,First Owner,998 CC,67 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
70,2017 Volkswagen Ameo 1.5 TDI Comfortline,80000,Individual,Manual,1,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0,False,False,False,True
71,2016 Maruti Vitara Brezza VDi,70000,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
72,2019 Maruti Vitara Brezza ZDi Plus AMT,9850,Individual,Automatic,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
73,2011 Hyundai i10 Magna,60000,Individual,Manual,Second Owner,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,False,False,True,False
74,2016 Maruti Swift VDI Deca,70000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
75,2015 Toyota Fortuner 4x4 MT,78000,Individual,Manual,2,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7.0,False,False,False,True
76,2013 Maruti Swift Star VDI,120000,Individual,Manual,Second Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
77,2012 Maruti Ertiga ZXI,120000,Individual,Manual,Second Owner,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0,False,False,True,False
78,2003 Tata Indica DLS,70000,Individual,Manual,First Owner,,,,,False,False,False,True
79,2013 Volkswagen Vento Diesel Highline,170000,Individual,Manual,First Owner,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,False,False,False,True
80,2016 Toyota Innova 2.5 VX (Diesel) 8 Seater,140000,Individual,Manual,1,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,False,False,False,True
81,2015 Ford EcoSport 1.5 TDCi Titanium Plus BSIV,90000,Individual,Manual,First Owner,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,False,False,False,True
82,2016 BMW X1 sDrive20i xLine,30000,Individual,Automatic,Second Owner,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5.0,False,False,True,False
83,2017 Maruti Celerio ZXI MT BSIV,10000,Dealer,Manual,First Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
84,2016 Datsun GO A Petrol,49000,Dealer,Manual,First Owner,1198 CC,67.05 bhp,104Nm@ 4000rpm,5.0,False,False,True,False
85,2016 Maruti Alto 800 VXI BSIV,32000,Dealer,Manual,1,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
86,2016 Maruti Alto 800 LXI BSIV,38000,Dealer,Manual,First Owner,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,False,False,True,False
87,2015 Maruti Swift VDI BSIV W ABS,78000,Dealer,Manual,First Owner,,,,,False,False,False,True
88,2012 Hyundai i10 Era 1.1,28000,Dealer,Manual,First Owner,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,False,False,True,False
89,2017 Maruti Omni 8 Seater BSIV,32000,Dealer,Manual,First Owner,796 CC,35 bhp,6.1kgm@ 3000rpm,5.0,False,False,True,False
90,2010 Maruti Wagon R LXI LPG BSIV,44000,Dealer,Manual,1,998 CC,58.2 bhp,77Nm@ 3500rpm,5.0,True,False,False,False
91,2015 Volkswagen Polo 1.2 MPI Comfortline,42000,Dealer,Manual,First Owner,1198 CC,74 bhp,110Nm@ 3750rpm,5.0,False,False,True,False
92,2015 Hyundai i10 Magna 1.1L,45000,Dealer,Manual,Second Owner,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,False,False,True,False
93,2012 Volkswagen Vento Petrol Highline,12000,Dealer,Manual,Second Owner,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0,False,False,True,False
94,2009 Maruti Zen Estilo LXI BSIII,55500,Dealer,Manual,First Owner,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
95,2013 Hyundai i20 Asta Optional with Sunroof 1.2,61500,Dealer,Manual,1,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0,False,False,True,False
96,2016 Maruti Swift Dzire LDI,150000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
97,2016 Hyundai Xcent 1.2 Kappa SX Option AT,72000,Dealer,Automatic,First Owner,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
98,2008 Maruti Alto LX BSIII,68000,Dealer,Manual,Third Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
99,2017 Hyundai i20 1.4 Asta Option,110000,Individual,Manual,First Owner,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,False,False,False,True
100,2009 Maruti Wagon R VXI,77000,Dealer,Manual,2,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
101,2010 Tata Manza Aura (ABS) Quadrajet,100000,Individual,Manual,Second Owner,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0,False,False,False,True
102,2019 Maruti Swift VXI,10000,Individual,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
103,2016 Maruti Eeco 7 Seater Standard BSIV,100000,Individual,Manual,Third Owner,1196 CC,73 bhp,101Nm@ 3000rpm,7.0,False,False,True,False
104,2018 Maruti Baleno Zeta 1.2,35000,Individual,Manual,First Owner,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
105,2014 Mahindra Scorpio VLX AT AIRBAG BSIV,70000,Individual,Automatic,2,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,False,False,False,True
106,2020 Ford Freestyle Titanium Petrol BSIV,5000,Individual,Manual,Second Owner,1194 CC,94.68 bhp,120Nm@ 4250rpm,5.0,False,False,True,False
107,2017 Hyundai Verna VTVT 1.6 SX,37800,Individual,Manual,First Owner,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,False,False,True,False
108,2010 Volkswagen Passat 1.8 TSI MT,114000,Individual,Manual,First Owner,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5.0,False,False,True,False
109,2010 Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,48000,Individual,Manual,First Owner,1172 CC,65 bhp,96 Nm at 3000 rpm,5.0,False,False,True,False
110,2019 Mahindra XUV500 W11 Option AWD,32000,Individual,Manual,1,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7.0,False,False,False,True
111,2016 Tata Indigo CS LS (TDI) BS-III,100000,Individual,Manual,First Owner,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0,False,False,False,True
112,2013 Hyundai Verna 1.6 SX,150000,Individual,Manual,Second Owner,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,False,False,False,True
113,2013 Hyundai i20 Magna 1.4 CRDi (Diesel),69000,Individual,Manual,First Owner,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5.0,False,False,False,True
114,2009 Toyota Corolla Altis G,100000,Individual,Manual,Second Owner,1798 CC,138.1 bhp,173Nm@ 4000rpm,5.0,False,False,True,False
115,2020 Maruti Celerio VXI,13000,Individual,Manual,1,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
116,2016 Maruti Vitara Brezza ZDi Plus Dual Tone,60000,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
117,2017 Maruti Swift Dzire VXI,40000,Individual,Manual,First Owner,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
118,2017 Maruti Wagon R VXI BS IV,35000,Individual,Manual,First Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
119,2010 Maruti Swift VDI BSIV,120000,Individual,Manual,Second Owner,,,,,False,False,False,True
120,2014 Nissan Terrano XL 85 PS,70000,Individual,Manual,3,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,False,False,False,True
121,2016 Hyundai Creta 1.6 CRDi SX,50000,Individual,Manual,First Owner,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,False,False,False,True
122,2017 Ford EcoSport 1.5 Diesel Titanium Plus BSIV,76139,Individual,Manual,First Owner,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0,False,False,False,True
123,2012 Maruti Swift Dzire VDi,175000,Individual,Manual,Fourth & Above Owner,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
124,2018 Renault KWID 1.0,25000,Individual,Manual,First Owner,999 CC,67 bhp,91Nm@ 4250rpm,5.0,False,False,True,False
125,2015 Maruti Celerio VXI,40000,Individual,Manual,2,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
126,2008 Maruti Alto LXi,65000,Individual,Manual,Fourth & Above Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
127,2013 Maruti Ertiga VDI,90000,Individual,Manual,Second Owner,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
128,2009 Hyundai Santro Xing GLS,80000,Individual,Manual,Second Owner,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,False,False,True,False
129,2015 Maruti Ertiga VDI,110000,Individual,Manual,Second Owner,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
130,2019 Honda Amaze S i-VTEC,1303,Dealer,Manual,1,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0,False,False,True,False
131,2018 Audi Q5 35TDI Premium Plus,31800,Dealer,Automatic,First Owner,1968 CC,188 bhp,400nm@ 1750-3000rpm,5.0,False,False,False,True
132,2019 Lexus ES 300h,20000,Dealer,Automatic,First Owner,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0,False,False,True,False
133,2017 Jaguar XF 2.0 Diesel Portfolio,45000,Dealer,Automatic,First Owner,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,False,False,False,True
134,2017 Jeep Wrangler 2016-2019 3.6 4X4,17000,Individual,Automatic,First Owner,3604 CC,280 bhp,347Nm@ 4300rpm,5.0,False,False,True,False
135,2019 Land Rover Discovery Sport TD4 SE,21000,Dealer,Automatic,1,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7.0,False,False,False,True
136,2017 Mercedes-Benz S-Class S 350 CDI,37000,Dealer,Automatic,First Owner,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5.0,False,False,False,True
137,2018 BMW 5 Series 520d Sport Line,29500,Dealer,Automatic,First Owner,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
138,2017 BMW X1 sDrive 20D xLine,27000,Dealer,Automatic,First Owner,,,,,False,False,False,True
139,2019 BMW X4 M Sport X xDrive20d,7500,Dealer,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
140,2018 Skoda Superb LK 1.8 TSI AT,50000,Dealer,Automatic,1,1798 CC,177.46 bhp,250@ 1250-5000rpm,5.0,False,False,True,False
141,2016 Mercedes-Benz E-Class E250 Edition E,35000,Dealer,Automatic,First Owner,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5.0,False,False,False,True
142,2019 MG Hector Sharp AT BSIV,19000,Dealer,Automatic,First Owner,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5.0,False,False,True,False
143,2017 Honda City i-VTEC CVT VX,41000,Dealer,Automatic,First Owner,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0,False,False,True,False
144,2013 Toyota Corolla Altis 1.8 G CVT,39000,Dealer,Automatic,First Owner,1798 CC,138.03 bhp,173Nm@ 4000rpm,5.0,False,False,True,False
145,2018 Volvo XC40 D4 R-Design,22000,Dealer,Automatic,1,1969 CC,190 bhp,400Nm,5.0,False,False,False,True
146,2015 Audi Q7 35 TDI Quattro Premium,53000,Dealer,Automatic,First Owner,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7.0,False,False,False,True
147,2015 Maruti Ciaz ZDi,40000,Dealer,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
148,2017 Mercedes-Benz S-Class S 350 CDI,47000,Dealer,Automatic,First Owner,2987 CC,282 bhp,490Nm@ 1600rpm,5.0,False,False,False,True
149,2010 BMW 5 Series 523i,72200,Dealer,Automatic,Second Owner,2497 CC,150 bhp,250 Nm at 2750 rpm,5.0,False,False,True,False
150,2016 Hyundai Elantra S,49900,Dealer,Manual,1,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0,False,False,True,False
151,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,9000,Dealer,Automatic,First Owner,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,False,False,False,True
152,2018 Tata Nexon 1.2 Revotron XZ Plus Dual Tone,11000,Dealer,Manual,First Owner,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5.0,False,False,True,False
153,2011 Volkswagen Vento Petrol Highline,49000,Individual,Manual,First Owner,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0,False,False,True,False
154,2012 Hyundai Elantra SX,95000,Individual,Manual,First Owner,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0,False,False,True,False
155,2016 Skoda Rapid 1.6 MPI AT Elegance,11000,Dealer,Automatic,1,1598 CC,103.5 bhp,153Nm@ 3800rpm,5.0,False,False,True,False
156,2018 Mercedes-Benz CLA 200 CGI Sport,18000,Dealer,Automatic,First Owner,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5.0,False,False,True,False
157,2014 Maruti Ertiga ZXI,46100,Dealer,Manual,First Owner,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0,False,False,True,False
158,2017 Mercedes-Benz New C-Class C 200 AVANTGARDE,16000,Dealer,Automatic,First Owner,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5.0,False,False,True,False
159,2017 Honda City V AT,18000,Dealer,Automatic,First Owner,1497 CC,116.3 bhp,146Nm@ 4800rpm,5.0,False,False,True,False
160,2019 Toyota Glanza V CVT,9654,Dealer,Automatic,1,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
161,2011 Maruti Alto K10 VXI,11000,Dealer,Manual,First Owner,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
162,2012 Maruti Swift VXI,24300,Dealer,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
163,2016 Toyota Innova Crysta 2.8 ZX AT BSIV,42163,Dealer,Automatic,Second Owner,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,False,False,False,True
164,2018 Tata Nexon 1.5 Revotorq XZA Plus DualTone,8000,Dealer,Automatic,First Owner,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5.0,False,False,False,True
165,2016 BMW 3 Series 320d Luxury Line,30000,Dealer,Automatic,1,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
166,2016 Toyota Camry 2.5 Hybrid,41000,Dealer,Automatic,First Owner,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0,False,False,True,False
167,2016 BMW 5 Series 520d Luxury Line,12000,Dealer,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
168,2009 Toyota Camry W4 (AT),71000,Dealer,Automatic,First Owner,2362 CC,164.7 bhp,224Nm@ 4000rpm,5.0,False,False,True,False
169,2016 Maruti Ertiga BSIV ZXI Plus,20000,Individual,Manual,First Owner,1373 CC,91.1 bhp,130Nm@ 4000rpm,7.0,False,False,True,False
170,2017 Volvo XC90 T8 Excellence BSIV,30000,Individual,Automatic,1,1969 CC,400 bhp,640Nm@ 1740rpm,4.0,False,False,True,False
171,2011 Volkswagen Vento Diesel Highline,100000,Individual,Manual,Second Owner,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,False,False,False,True
172,2018 Ford Figo Aspire 1.2 Ti-VCT Trend,9500,Individual,Manual,First Owner,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,False,False,True,False
173,2011 Ford Figo Diesel LXI,120000,Individual,Manual,First Owner,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
174,2015 Maruti Swift VXI Optional,36600,Individual,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
175,2015 Maruti Wagon R AMT VXI,50000,Individual,Automatic,2,998 CC,67 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
176,2016 Hyundai i20 Magna 1.2,14000,Individual,Manual,Second Owner,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,False,False,True,False
177,1999 Maruti 800 Std,40000,Individual,Manual,Second Owner,796 CC,37 bhp,59Nm@ 2500rpm,4.0,False,False,True,False
