,name,year,miles_driven,price_per_mile,mileage,selling_price,seller_type,owner,transmission,engine,torque,seats,fuel
4334,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
423,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1129,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4428,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
5628,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1871,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6180,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4229,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
660,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
5252,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3422,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4269,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6568,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1110,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
2677,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1723,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
5097,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6703,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
7872,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4248,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4829,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3530,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
6587,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
1091,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3092,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
2644,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3845,BMW X4 M Sport X xDrive20d,2019,4660,$1158.8,39.47mpg,73980.54,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
4671,BMW 5 Series 520d Luxury Line,2019,6214,$836.82,42.62mpg,71240.52,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
7710,Mercedes-Benz E-Class Exclusive E 200 BSIV,2019,10563,$492.28,35.28mpg,71240.52,Dealer,First Owner,Automatic,1991 CC,300Nm@ 1600-4000rpm,5.0,Petrol
5256,Mercedes-Benz E-Class Exclusive E 200 BSIV,2019,10563,$492.28,35.28mpg,71240.52,Dealer,First Owner,Automatic,1991 CC,300Nm@ 1600-4000rpm,5.0,Petrol
7757,BMW 5 Series 520d Luxury Line,2019,6214,$836.82,42.62mpg,71240.52,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
132,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1116,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
4256,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1562,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
7859,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
4415,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
410,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
6960,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
2664,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
7701,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
6690,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
5084,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
3079,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
6555,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
2631,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
371,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
5246,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
6574,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
3237,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
4321,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
3832,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1710,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
647,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1135,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1858,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
5615,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1097,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
1078,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
3409,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
4235,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
3517,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
6167,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
4816,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
4216,Lexus ES 300h,2019,12427,$414.42,52.62mpg,70555.515,Dealer,First Owner,Automatic,2487 CC,202Nm@ 3600-5200rpm,5.0,Petrol
7340,Mercedes-Benz GL-Class 220d 4MATIC Sport,2018,3728,$1233.91,42.1mpg,63020.46,Dealer,First Owner,Automatic,2143 CC,400Nm@ 1400-2800rpm,5.0,Diesel
288,Mercedes-Benz GL-Class 220d 4MATIC Sport,2018,4956,$928.17,42.1mpg,63020.46,Individual,First Owner,Automatic,2143 CC,400Nm@ 1400-2800rpm,5.0,Diesel
7711,Land Rover Discovery Sport TD4 SE,2019,13049,$344.85,30.18mpg,61650.45,Dealer,First Owner,Automatic,1999 CC,382nm@ 1750-2250rpm,7.0,Diesel
3240,Land Rover Discovery Sport TD4 SE,2019,13049,$344.85,30.18mpg,61650.45,Dealer,First Owner,Automatic,1999 CC,382nm@ 1750-2250rpm,7.0,Diesel
5257,Land Rover Discovery Sport TD4 SE,2019,13049,$344.85,30.18mpg,61650.45,Dealer,First Owner,Automatic,1999 CC,382nm@ 1750-2250rpm,7.0,Diesel
135,Land Rover Discovery Sport TD4 SE,2019,13049,$344.85,30.18mpg,61650.45,Dealer,First Owner,Automatic,1999 CC,382nm@ 1750-2250rpm,7.0,Diesel
5248,Jeep Wrangler 2016-2019 3.6 4X4,2017,10563,$388.15,22.35mpg,56170.409999999996,Individual,First Owner,Automatic,3604 CC,347Nm@ 4300rpm,5.0,Petrol
1564,Jeep Wrangler 2016-2019 3.6 4X4,2017,10563,$388.15,22.35mpg,56170.409999999996,Individual,First Owner,Automatic,3604 CC,347Nm@ 4300rpm,5.0,Petrol
7703,Jeep Wrangler 2016-2019 3.6 4X4,2017,10563,$388.15,22.35mpg,56170.409999999996,Individual,First Owner,Automatic,3604 CC,347Nm@ 4300rpm,5.0,Petrol
3239,Jeep Wrangler 2016-2019 3.6 4X4,2017,10563,$388.15,22.35mpg,56170.409999999996,Individual,First Owner,Automatic,3604 CC,347Nm@ 4300rpm,5.0,Petrol
1860,Jeep Wrangler 2016-2019 3.6 4X4,2017,10563,$388.15,22.35mpg,56170.409999999996,Individual,First Owner,Automatic,3604 CC,347Nm@ 4300rpm,5.0,Petrol
134,Jeep Wrangler 2016-2019 3.6 4X4,2017,10563,$388.15,22.35mpg,56170.409999999996,Individual,First Owner,Automatic,3604 CC,347Nm@ 4300rpm,5.0,Petrol
3248,Mercedes-Benz GL-Class 350 CDI Luxury,2016,43496,$94.03,28.23mpg,56033.409,Dealer,First Owner,Automatic,2987 CC,510Nm@ 1600-2800rpm,7.0,Diesel
5259,BMW 5 Series 520d Sport Line,2018,6214,$643.71,52.88mpg,54800.4,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
7709,BMW 5 Series 520d Sport Line,2018,6214,$643.71,52.88mpg,54800.4,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
5245,Audi Q5 35TDI Premium Plus,2018,19760,$201.16,40.01mpg,54457.8975,Dealer,First Owner,Automatic,1968 CC,400nm@ 1750-3000rpm,5.0,Diesel
3236,Audi Q5 35TDI Premium Plus,2018,19760,$201.16,40.01mpg,54457.8975,Dealer,First Owner,Automatic,1968 CC,400nm@ 1750-3000rpm,5.0,Diesel
1857,Audi Q5 35TDI Premium Plus,2018,19760,$201.16,40.01mpg,54457.8975,Dealer,First Owner,Automatic,1968 CC,400nm@ 1750-3000rpm,5.0,Diesel
1561,Audi Q5 35TDI Premium Plus,2018,19760,$201.16,40.01mpg,54457.8975,Dealer,First Owner,Automatic,1968 CC,400nm@ 1750-3000rpm,5.0,Diesel
7699,Audi Q5 35TDI Premium Plus,2018,19760,$201.16,40.01mpg,54457.8975,Dealer,First Owner,Automatic,1968 CC,400nm@ 1750-3000rpm,5.0,Diesel
131,Audi Q5 35TDI Premium Plus,2018,19760,$201.16,40.01mpg,54457.8975,Dealer,First Owner,Automatic,1968 CC,400nm@ 1750-3000rpm,5.0,Diesel
2829,BMW 5 Series 520d Sport Line,2018,10625,$367.06,52.88mpg,53430.39,Dealer,First Owner,Automatic,1995 CC,400Nm@ 1750-2500rpm,5.0,Diesel
3412,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
5618,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
6558,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
3835,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
1138,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
650,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
1828,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
4324,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
6693,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
6170,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
6963,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
1119,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
4219,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
6577,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
2634,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
374,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
413,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
4819,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
2667,Volvo XC40 D4 Inscription BSIV,2019,12427,$305.79,42.34mpg,52060.38,Individual,First Owner,Automatic,1969 CC,400Nm,5.0,Diesel
