,model,selling_price,mileage
104,2018 Maruti Baleno Zeta 1.2,610000,21.4 kmpl
105,2014 Mahindra Scorpio VLX AT AIRBAG BSIV,625000,11.79 kmpl
106,2020 Ford Freestyle Titanium Petrol BSIV,400000,19.0 kmpl
107,2017 Hyundai Verna VTVT 1.6 SX,866000,17.0 kmpl
108,2010 Volkswagen Passat 1.8 TSI MT,700000,14.3 kmpl
109,2010 Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,300000,15.8 kmpl
110,2019 Mahindra XUV500 W11 Option AWD,1700000,15.1 kmpl
111,2016 Tata Indigo CS LS (TDI) BS-III,375000,19.09 kmpl
112,2013 Hyundai Verna 1.6 SX,522000,22.32 kmpl
113,2013 Hyundai i20 Magna 1.4 CRDi (Diesel),451999,21.9 kmpl
114,2009 Toyota Corolla Altis G,300000,14.53 kmpl
115,2020 Maruti Celerio VXI,475000,21.63 kmpl
116,2016 Maruti Vitara Brezza ZDi Plus Dual Tone,780000,24.3 kmpl
117,2017 Maruti Swift Dzire VXI,595000,20.85 kmpl
118,2017 Maruti Wagon R VXI BS IV,440000,20.51 kmpl
119,2010 Maruti Swift VDI BSIV,300000,
120,2014 Nissan Terrano XL 85 PS,400000,20.45 kmpl
121,2016 Hyundai Creta 1.6 CRDi SX,1140000,19.67 kmpl
122,2017 Ford EcoSport 1.5 Diesel Titanium Plus BSIV,850000,23.0 kmpl
123,2012 Maruti Swift Dzire VDi,370000,19.3 kmpl
124,2018 Renault KWID 1.0,350000,23.01 kmpl
125,2015 Maruti Celerio VXI,360000,23.1 kmpl
126,2008 Maruti Alto LXi,105000,19.7 kmpl
127,2013 Maruti Ertiga VDI,625000,20.77 kmpl
128,2009 Hyundai Santro Xing GLS,135000,17.92 kmpl
129,2015 Maruti Ertiga VDI,700000,20.77 kmpl
130,2019 Honda Amaze S i-VTEC,690000,17.8 kmpl
131,2018 Audi Q5 35TDI Premium Plus,3975000,17.01 kmpl
132,2019 Lexus ES 300h,5150000,22.37 kmpl
133,2017 Jaguar XF 2.0 Diesel Portfolio,3200000,19.33 kmpl
134,2017 Jeep Wrangler 2016-2019 3.6 4X4,4100000,9.5 kmpl
135,2019 Land Rover Discovery Sport TD4 SE,4500000,12.83 kmpl
136,2017 Mercedes-Benz S-Class S 350 CDI,6000000,13.5 kmpl
137,2018 BMW 5 Series 520d Sport Line,3790000,22.48 kmpl
138,2017 BMW X1 sDrive 20D xLine,2150000,
139,2019 BMW X4 M Sport X xDrive20d,5800000,16.78 kmpl
140,2018 Skoda Superb LK 1.8 TSI AT,1864999,14.67 kmpl
141,2016 Mercedes-Benz E-Class E250 Edition E,2700000,15.0 kmpl
142,2019 MG Hector Sharp AT BSIV,1750000,13.96 kmpl
143,2017 Honda City i-VTEC CVT VX,795000,18.0 kmpl
144,2013 Toyota Corolla Altis 1.8 G CVT,625000,14.28 kmpl
145,2018 Volvo XC40 D4 R-Design,3400000,18.0 kmpl
146,2015 Audi Q7 35 TDI Quattro Premium,2650000,12.07 kmpl
147,2015 Maruti Ciaz ZDi,535000,26.21 kmpl
148,2017 Mercedes-Benz S-Class S 350 CDI,5850000,13.5 kmpl
149,2010 BMW 5 Series 523i,975000,10.8 kmpl
150,2016 Hyundai Elantra S,805000,16.3 kmpl
151,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,13.6 kmpl
152,2018 Tata Nexon 1.2 Revotron XZ Plus Dual Tone,811000,17.0 kmpl
153,2011 Volkswagen Vento Petrol Highline,375000,15.04 kmpl
154,2012 Hyundai Elantra SX,550000,16.3 kmpl
155,2016 Skoda Rapid 1.6 MPI AT Elegance,645000,14.3 kmpl
156,2018 Mercedes-Benz CLA 200 CGI Sport,2550000,15.04 kmpl
157,2014 Maruti Ertiga ZXI,599000,16.02 kmpl
158,2017 Mercedes-Benz New C-Class C 200 AVANTGARDE,2700000,14.74 kmpl
159,2017 Honda City V AT,875000,15.6 kmpl
160,2019 Toyota Glanza V CVT,894999,19.56 kmpl
161,2011 Maruti Alto K10 VXI,175000,23.95 kmpl
162,2012 Maruti Swift VXI,340000,21.21 kmpl
163,2016 Toyota Innova Crysta 2.8 ZX AT BSIV,1525000,11.36 kmpl
164,2018 Tata Nexon 1.5 Revotorq XZA Plus DualTone,1025000,21.5 kmpl
165,2016 BMW 3 Series 320d Luxury Line,2150000,22.69 kmpl
166,2016 Toyota Camry 2.5 Hybrid,1900000,19.16 kmpl
167,2016 BMW 5 Series 520d Luxury Line,2900000,18.12 kmpl
168,2009 Toyota Camry W4 (AT),450000,12.1 kmpl
169,2016 Maruti Ertiga BSIV ZXI Plus,850000,17.5 kmpl
170,2017 Volvo XC90 T8 Excellence BSIV,10000000,42.0 kmpl
171,2011 Volkswagen Vento Diesel Highline,300000,20.54 kmpl
172,2018 Ford Figo Aspire 1.2 Ti-VCT Trend,575000,18.16 kmpl
173,2011 Ford Figo Diesel LXI,160000,20.0 kmpl
174,2015 Maruti Swift VXI Optional,515000,20.4 kmpl
175,2015 Maruti Wagon R AMT VXI,390000,20.51 kmpl
176,2016 Hyundai i20 Magna 1.2,550000,18.6 kmpl
177,1999 Maruti 800 Std,40000,16.1 kmpl
178,2010 Maruti Ritz VDi,220000,21.1 kmpl
179,2015 Hyundai Grand i10 Magna,425000,18.9 kmpl
180,2019 Volkswagen Ameo 1.0 MPI Trendline,480000,19.44 kmpl
181,2014 Hyundai Grand i10 Sportz,400000,18.9 kmpl
182,2014 Maruti Swift Dzire VXI,487000,19.1 kmpl
183,2016 Hyundai Xcent 1.2 Kappa S,386000,19.1 kmpl
184,2005 Honda City 1.5 EXI,100000,13.0 kmpl
185,2010 Toyota Corolla Altis Diesel D4DG,300000,21.43 kmpl
186,2000 Daewoo Matiz SD,100000,18.5 kmpl
187,2014 Toyota Fortuner 4x2 Manual,1750000,13.0 kmpl
188,2016 Mahindra KUV 100 mFALCON G80 K8,450000,18.15 kmpl
189,2017 Tata Zest Quadrajet 1.3 75PS XM,490000,22.95 kmpl
190,2009 Honda City 1.5 S MT,345000,17.0 kmpl
191,2005 Maruti Zen LXI,85000,17.3 kmpl
192,2010 Maruti Wagon R VXI BS IV with ABS,215000,18.9 kmpl
193,2010 Hyundai Verna Transform SX VTVT,320000,16.2 kmpl
194,2016 Maruti Swift Dzire VXI,459999,20.85 kmpl
195,2005 Hyundai Getz GLS,65000,15.3 kmpl
196,2020 Hyundai Elite i20 Sportz Plus BSIV,720000,18.6 kmpl
197,2017 Maruti Ciaz 1.3 Alpha,800000,28.09 kmpl
198,2019 Tata Tigor 1.2 Revotron XZ,520000,20.3 kmpl
199,2015 Maruti Ertiga VDI,580000,20.77 kmpl
200,2012 Toyota Etios GD,235000,
201,2015 Honda City i VTEC S,600000,17.4 kmpl
202,2014 Honda Brio S MT,290000,19.4 kmpl
203,2016 Maruti Wagon R LXI CNG,360000,26.6 km/kg
204,2017 Maruti Swift Dzire VXI,550000,20.85 kmpl
205,2013 Hyundai i20 Sportz 1.2,375000,18.5 kmpl
206,2003 Maruti Omni E 8 Str STD,40000,
207,2018 Maruti Wagon R AMT VXI,420000,20.51 kmpl
208,2017 Maruti Swift Dzire VXI 1.2,550000,21.21 kmpl
209,2018 Maruti Alto 800 LXI,270000,24.7 kmpl
210,2018 Maruti Swift Dzire AMT VXI BS IV,700000,22.0 kmpl
211,2017 Maruti Swift VXI Optional,500000,20.4 kmpl
212,2019 Tata Hexa XE,1250000,17.6 kmpl
213,2013 Hyundai i20 Magna,320000,18.5 kmpl
214,2018 Maruti Swift Dzire VDI,700000,28.4 kmpl
215,2015 Maruti Wagon R VXI BS IV,290000,20.51 kmpl
216,2012 Toyota Corolla Altis 1.8 VL AT,550000,14.53 kmpl
217,2012 Honda Brio S MT,265000,19.4 kmpl
218,2018 Maruti Baleno Alpha Automatic,830000,21.4 kmpl
219,2017 Tata Safari Storme EX,800000,14.1 kmpl
220,2011 Maruti Alto LXi,160000,19.7 kmpl
221,2018 Renault KWID RXT,335000,25.17 kmpl
222,2017 Datsun GO T BSIV,329000,20.63 kmpl
223,2017 Maruti Vitara Brezza VDi Option,775000,24.3 kmpl
224,2020 Hyundai Xcent 1.2 VTVT SX,524000,20.14 kmpl
225,2015 Maruti Alto 800 LXI,245000,22.74 kmpl
226,2012 Hyundai i20 1.2 Sportz,275000,17.0 kmpl
227,2018 Tata Zest Revotron 1.2 XT,520000,17.57 kmpl
228,2008 Maruti Swift 1.3 VXi,130000,
229,2014 Nissan Sunny XL,550000,16.95 kmpl
230,2018 Ford EcoSport 1.5 Petrol Titanium Plus BSIV,910000,17.0 kmpl
231,2015 Nissan Micra Active XV S,300000,19.49 kmpl
232,2016 Maruti Wagon R LXI Optional,350000,20.51 kmpl
233,2013 Mahindra Ssangyong Rexton RX5,900000,12.83 kmpl
234,2013 Mahindra Quanto C8,300000,17.21 kmpl
235,2010 Maruti Ritz LDi,250000,21.1 kmpl
236,2017 Hyundai Creta 1.6 CRDi SX Plus Dual Tone,1100000,19.67 kmpl
237,2016 Renault KWID RXT,270000,25.17 kmpl
238,2015 Maruti Ertiga VDI,640000,20.77 kmpl
239,2015 Mahindra XUV500 W4,650000,15.1 kmpl
240,2017 Maruti Eeco 5 Seater AC BSIV,409999,15.37 kmpl
241,2011 Hyundai Santro Xing GLS,165000,17.92 kmpl
242,2007 Hyundai Accent GLE,80000,13.2 kmpl
243,2012 Mahindra XUV500 W8 2WD,535000,15.1 kmpl
244,2013 Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,700000,12.99 kmpl
245,2013 Maruti Swift Dzire VDI,550000,23.4 kmpl
246,2019 Honda Amaze S CVT Petrol BSIV,680000,19.0 kmpl
247,2009 Hyundai i10 Sportz 1.2,200000,20.36 kmpl
248,2014 Maruti Swift Dzire VDI,500000,23.4 kmpl
249,2016 Maruti Ertiga SHVS ZDI Plus,1000000,24.52 kmpl
250,2008 Hyundai Getz 1.3 GVS,110000,14.2 kmpl
251,2012 Hyundai i20 1.2 Magna,320000,18.5 kmpl
252,2005 Tata Indica DLS,75000,
253,2015 Maruti Swift LXI Optional-O,350000,20.4 kmpl
254,2013 Tata Indica Vista TDI LS,170000,19.4 kmpl
255,2017 Hyundai i20 2015-2017 Asta 1.4 CRDi,800000,22.54 kmpl
256,2017 Maruti Ignis 1.3 Alpha,500000,26.8 kmpl
257,2017 Tata Hexa XTA,1380000,17.6 kmpl
258,2019 Mahindra Marazzo M6 8Str,1300000,17.3 kmpl
259,2013 Hyundai Verna 1.6 CRDI,530000,22.32 kmpl
260,2012 Maruti Swift Dzire VDI,360000,23.4 kmpl
261,2012 Maruti Swift Dzire LDi,310000,19.3 kmpl
262,2015 Honda City i DTEC V,725000,26.0 kmpl
263,2012 Maruti Swift Dzire ZDi,340000,19.3 kmpl
264,2017 Hyundai Xcent 1.2 CRDi E,550000,25.4 kmpl
265,2011 Toyota Fortuner 3.0 Diesel,1150000,11.5 kmpl
266,2016 Tata Tiago 1.05 Revotorq XZ,380000,27.28 kmpl
267,2013 Nissan Sunny XL AT Special Edition,350000,17.97 kmpl
268,2019 Hyundai Elite i20 Magna Plus BSIV,610000,18.6 kmpl
269,2015 Maruti Swift Dzire VXI,525000,20.85 kmpl
270,2011 Toyota Innova 2.5 GX 7 STR,480000,12.8 kmpl
271,2017 Mahindra Thar CRDe,780000,16.55 kmpl
272,2012 Maruti Swift Dzire ZDi,320000,19.3 kmpl
273,2014 Maruti Swift 1.2 DLX (Only Delhi),375000,20.4 kmpl
274,2019 Datsun GO D Petrol,300000,19.02 kmpl
275,2015 Hyundai i20 Asta 1.4 CRDi,500000,22.54 kmpl
276,2011 Mahindra Scorpio LX,404000,12.05 kmpl
277,2015 Tata Sumo Gold EX BSIII,500000,14.07 kmpl
278,2017 Tata Tiago Wizz 1.05 Revotorq,350000,27.28 kmpl
279,2015 Tata Zest Revotron 1.2 XT,380000,17.57 kmpl
280,2008 Hyundai Accent GLE,114999,13.2 kmpl
281,2014 Honda Brio Exclusive Edition,335000,19.4 kmpl
282,2015 Hyundai Grand i10 AT Asta,465000,18.9 kmpl
283,2012 Tata Manza Club Class Quadrajet90 LX,290000,21.02 kmpl
284,2005 Maruti Alto LX,110000,19.7 kmpl
285,2011 Tata New Safari DICOR 2.2 EX 4x2,450000,11.57 kmpl
286,2009 Mahindra Bolero SLE,400000,13.6 kmpl
287,2007 Mahindra Bolero DI DX 7 Seater,210000,13.6 kmpl
288,2018 Mercedes-Benz GL-Class 220d 4MATIC Sport,4600000,17.9 kmpl
289,2016 Maruti Omni E MPI STD BS IV,220000,16.8 kmpl
290,2017 Hyundai Grand i10 Sportz,450000,18.9 kmpl
291,2017 Hyundai Grand i10 Sportz,450000,18.9 kmpl
292,2013 Hyundai i10 Sportz AT,290000,16.95 kmpl
293,2016 Maruti Swift VXI Deca,520000,20.4 kmpl
294,2011 Hyundai i10 Sportz AT,265000,16.95 kmpl
295,2012 Maruti Swift VXI,330000,18.6 kmpl
296,2012 Maruti Swift VXI,330000,18.6 kmpl
297,2014 Mahindra Bolero 2011-2019 ZLX,509999,15.96 kmpl
298,2014 Hyundai Verna 1.6 SX VTVT (O),500000,17.1 kmpl
299,2015 Hyundai i20 Active 1.2,525000,17.19 kmpl
300,2019 Maruti Baleno Zeta,675000,21.01 kmpl
301,2010 Hyundai i20 1.2 Asta,300000,17.0 kmpl
302,2005 Maruti Alto LXI,90000,19.7 kmpl
303,2017 Maruti Swift Dzire VDI,650000,26.59 kmpl
304,2014 Maruti Swift Dzire VXI,409000,19.1 kmpl
305,2015 Hyundai Grand i10 CRDi Sportz,395000,24.0 kmpl
306,2010 Maruti Swift 1.3 VXi,215000,
307,2014 Maruti Swift Dzire VXI,400000,19.1 kmpl
308,2012 Chevrolet Beat LS,120000,18.6 kmpl
309,2018 Tata Tigor 1.2 Revotron XZA,645000,20.3 kmpl
310,2006 Maruti 800 Std,81000,16.1 kmpl
311,2017 Honda City i-DTEC VX,1300000,25.6 kmpl
312,2017 Honda City i-DTEC VX,1250000,25.6 kmpl
313,2013 Maruti Ertiga VXI,535000,16.02 kmpl
314,2014 Nissan Terrano XV Premium 110 PS,555000,19.01 kmpl
315,2014 Honda City i VTEC VX,725000,17.4 kmpl
316,1983 Mahindra Willys CJ 3B 4X4,300000,
317,2016 Renault KWID RXL,229999,25.17 kmpl
318,2013 Toyota Innova 2.5 GX (Diesel) 8 Seater,800000,12.99 kmpl
319,2017 Maruti Wagon R VXI BS IV,409999,20.51 kmpl
320,2018 Hyundai Creta 1.4 CRDi S Plus,1210000,21.38 kmpl
321,2017 Tata Tiago 1.2 Revotron XZ,400000,23.84 kmpl
322,2018 Hyundai Grand i10 1.2 CRDi Sportz,520000,24.0 kmpl
323,2016 Maruti Baleno Zeta Automatic,650000,21.4 kmpl
324,2011 Maruti Swift ZXI ABS,325000,16.1 kmpl
325,2012 Maruti Swift Dzire VXi AT,420000,17.4 kmpl
326,2014 Maruti Swift LXI Option,400000,20.4 kmpl
327,2010 Hyundai i20 1.2 Asta,254999,17.0 kmpl
328,2003 Maruti Zen LXI,65000,17.3 kmpl
329,2017 Maruti Celerio LXI,351000,23.1 kmpl
330,2007 Toyota Innova 2.5 V Diesel 8-seater,404000,12.8 kmpl
331,2011 Maruti Ritz LDi,185000,21.1 kmpl
332,2011 Nissan Micra Diesel XV,250000,23.08 kmpl
333,2002 Maruti Zen LXI,60000,17.3 kmpl
334,2013 Hyundai Verna 1.6 SX VTVT (O),500000,17.1 kmpl
335,2007 Maruti Zen Estilo LXI BSIII,85000,18.2 kmpl
336,2005 Hyundai Santro Xing XL,85000,
337,2005 Maruti Alto LX,85000,19.7 kmpl
338,2011 Maruti Swift Dzire ZDi,265000,19.3 kmpl
339,2010 Maruti A-Star Vxi,130000,19.0 kmpl
340,2013 Maruti Ertiga VDI,480000,20.77 kmpl
341,2008 Maruti Swift Ldi BSIII,170000,17.8 kmpl
342,2011 Nissan Micra Diesel XV,275000,23.08 kmpl
343,2005 Maruti Wagon R LXI,89000,18.9 kmpl
344,2010 Ford Figo Diesel Titanium,170000,20.0 kmpl
345,2019 Mahindra XUV300 W8 Option BSIV,1090000,17.0 kmpl
346,2017 Hyundai Creta 1.6 CRDi AT SX Plus,1100000,17.01 kmpl
347,2018 Maruti Swift VXI BSIV,610000,22.0 kmpl
348,2016 Datsun GO T Option BSIV,335000,20.63 kmpl
349,2015 Hyundai Grand i10 Asta,434999,18.9 kmpl
350,2018 Toyota Fortuner 2.8 2WD MT BSIV,3000000,14.24 kmpl
351,2018 Renault KWID RXL,390000,20.71 kmpl
352,2012 Honda Brio 1.2 VX MT,325000,18.5 kmpl
353,2019 Volkswagen Ameo 1.2 MPI Comfortline Plus,640000,17.0 kmpl
354,2012 Nissan Sunny XV Special Edition,450000,16.95 kmpl
355,2013 Toyota Etios Liva GD SP,400000,23.59 kmpl
356,2009 Hyundai i10 Sportz,215000,20.36 kmpl
357,2014 Renault Duster 85PS Diesel RxL,570000,20.45 kmpl
358,2012 Mahindra XUV500 W8 2WD,680000,15.1 kmpl
359,2008 Toyota Innova 2.5 V Diesel 7-seater,325000,12.8 kmpl
360,2011 Tata Indigo CS eGLX BS IV,150000,15.64 kmpl
361,2013 Hyundai Elantra SX AT,690000,14.5 kmpl
362,2013 Mercedes-Benz New C-Class 220 CDI AT,1550000,14.84 kmpl
363,2012 Tata Nano STD,64000,25.4 kmpl
364,2013 Nissan Micra Diesel XL,250000,23.08 kmpl
365,2005 Maruti Wagon R LXI,65000,18.9 kmpl
366,2016 Maruti Swift Dzire VDI,550000,26.59 kmpl
367,2010 Hyundai i10 Magna,140000,20.36 kmpl
368,2016 Renault KWID RXT,300000,25.17 kmpl
369,2016 Volkswagen GTI 1.8 TSI,800000,16.34 kmpl
370,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,13.6 kmpl
371,2019 Lexus ES 300h,5150000,22.37 kmpl
372,2017 Jaguar XF 2.0 Diesel Portfolio,3200000,19.33 kmpl
373,2015 Tata Safari Storme EX,503000,14.1 kmpl
374,2019 Volvo XC40 D4 Inscription BSIV,3800000,18.0 kmpl
375,2016 Toyota Camry 2.5 Hybrid,2000000,19.16 kmpl
376,2013 Maruti Wagon R LXI,225000,21.79 kmpl
377,2018 Maruti Baleno Alpha 1.3,740000,27.39 kmpl
378,2016 Honda Jazz VX,550000,18.2 kmpl
379,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,12.99 kmpl
380,2019 Maruti Swift AMT VVT VXI,650000,22.0 kmpl
381,2017 Toyota Etios VX,625000,16.78 kmpl
382,2018 Maruti Swift AMT ZXI,600000,22.0 kmpl
383,2017 Hyundai Grand i10 1.2 CRDi Sportz,450000,24.0 kmpl
384,2019 BMW X4 M Sport X xDrive20d,5400000,16.78 kmpl
385,2019 BMW X4 M Sport X xDrive20d,5500000,16.78 kmpl
386,2019 Honda Amaze V CVT Petrol BSIV,779000,19.0 kmpl
387,2016 Skoda Rapid 1.6 MPI AT Elegance,645000,14.3 kmpl
388,2018 Volvo V40 D3 R-Design,2475000,16.8 kmpl
389,2010 Hyundai i10 Magna,150000,20.36 kmpl
390,2012 Toyota Etios Liva Diesel TRD Sportivo,265000,
391,2009 Honda CR-V 2.4L 4WD AT,500000,11.1 kmpl
392,2015 Maruti Swift Dzire VDI,480000,26.59 kmpl
393,2014 Hyundai Verna 1.6 SX CRDi (O),535000,22.32 kmpl
394,2005 Toyota Innova 2.5 G1 Diesel 8-seater,250000,12.8 kmpl
395,2012 Maruti SX4 Celebration Diesel,300000,21.5 kmpl
396,2009 Hyundai Verna XXi ABS (Petrol),340000,13.9 kmpl
397,2009 Hyundai Verna CRDi SX,340000,16.8 kmpl
398,2016 Maruti Alto 800 VXI,240000,22.74 kmpl
399,2018 Honda City i-VTEC CVT V,1085000,18.0 kmpl
400,2017 Maruti Swift Dzire AMT VDI,750000,28.4 kmpl
401,2012 Tata Indigo LS,95000,17.0 kmpl
402,2020 Maruti Eeco CNG 5 Seater AC,409999,20.88 km/kg
403,2014 Maruti Alto K10 VXI,215000,23.95 kmpl
404,2016 Mahindra XUV500 AT W10 AWD,1290000,16.0 kmpl
405,2010 Maruti Alto K10 LXI,150000,20.92 kmpl
406,2013 Hyundai EON Sportz,219000,21.1 kmpl
407,2018 Tata Tiago 1.2 Revotron XE,325000,23.84 kmpl
408,2013 Maruti Eeco Smiles 5 Seater AC,260000,15.1 kmpl
409,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,13.6 kmpl
410,2019 Lexus ES 300h,5150000,22.37 kmpl
